1.Ionel Georgescu
2.Alexandra Stanescu
3.Mihai Popa
4.Florin Radu
5.Mihaela Dragomir
6.Adrian Marin
7.Maria Vladescu
8.Gabriel Tudor
9.Alina Florescu
10.Alexandru Munteanu
11.Ioana Dumitru
12.Mircea Tudose
13.Elena Iancu
14.Vlad Dumitrescu
15.Andreea Enache
16.Cristian Vasilescu
17.Ioan Pop
18.Raluca Andrei
19.Lucian Andreescu
20.Anca Marinescu
21.Paul Popovici
22.Diana Ciobanu
23.Marius Cojocaru
24.Laura Nistor
25.Sorin Mihalache
26.Elena Preda
27.Andrei Stan
28.Iulia Dumitrescu
29.Andrei Popescu
30.Ana Maria Ionescu
